"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.850143900E-2,5.266181231E-1,-4.581366539E0,9.929370880E-1
2.285014390E-1,5.240951777E-1,-4.473828316E0,9.283924103E-1
4.085014390E-1,4.731448293E-1,-3.872944355E0,5.988855362E-1
5.885014390E-1,4.561602473E-1,-3.292033911E0,7.392673492E-1
7.685014390E-1,3.136949539E-1,-2.015302658E0,2.908163071E-1
9.485014390E-1,1.277129054E-1,-1.013509393E0,5.219459534E-2
1.128501439E0,2.223197371E-2,-4.059949517E-1,1.103124619E-1
1.308501439E0,3.867453337E-2,-7.844635844E-2,5.151653290E-2
1.488501439E0,1.217602938E-2,-3.628304601E-2,2.060155869E-1
1.668501439E0,-5.801963806E-2,-7.702440023E-2,1.556615829E-1
1.848501439E0,-8.892510831E-2,-8.936716616E-2,1.563310623E-1
2.028501439E0,-3.454457223E-2,-5.214732885E-2,1.725864410E-2
2.208501439E0,1.864084601E-2,-3.448982537E-2,7.178688049E-2
2.388501439E0,1.189643219E-1,-4.986530542E-2,1.337947845E-1
2.568501439E0,-3.459919244E-2,-3.940120339E-2,6.240558624E-2
2.748501439E0,-6.749890745E-3,-2.249960601E-2,1.678419113E-1
2.928501439E0,-4.067540169E-3,1.179526746E-2,2.778053284E-3
3.108501439E0,-1.947140694E-2,-4.962033778E-2,1.605625153E-1
3.288501439E0,9.720164537E-2,1.179157645E-1,1.462774277E-1
3.468501439E0,-3.680899739E-3,-2.890118212E-2,8.405494690E-2
3.648501439E0,6.672322750E-3,-3.691648692E-2,8.400917053E-2
3.828501439E0,3.982137144E-2,-3.732194006E-2,5.537700653E-2
4.008501439E0,-6.101518869E-3,8.076444268E-3,1.410961151E-2
4.188501439E0,4.067767411E-2,5.849996209E-2,1.240634918E-1
4.368501439E0,3.281980753E-4,4.476149380E-2,2.100334167E-1
4.548501439E0,-2.631305903E-2,-2.246807516E-2,8.816623688E-2
4.728501439E0,9.625717998E-3,1.558272541E-2,6.896305084E-2
4.908501439E0,6.127552688E-2,-1.470051706E-3,2.007131577E-1
5.088501439E0,-1.206271350E-2,1.737913489E-2,3.783416748E-2
5.268465724E0,-1.423627138E-3,7.745652646E-2,1.668300629E-1
5.448431241E0,3.276839852E-3,7.576095313E-2,1.667757034E-1
5.648431241E0,8.147120476E-3,-1.033610106E-2,6.755447388E-2
5.848431241E0,-1.522146165E-1,5.033830404E-1,-2.353696823E-1
6.048431241E0,3.552645445E-3,3.247854114E-1,-2.566766739E-1
6.248431241E0,-1.670185179E-1,8.523564339E-1,1.547222137E-1
6.448431241E0,-2.134615779E-1,1.018519402E0,-5.969295502E-1
6.648431241E0,5.980228186E-1,-1.730728030E0,3.263573647E0
6.848431241E0,1.278856844E-1,-2.010740787E-1,-1.214581490E0
7.048431241E0,6.384947300E-1,-4.817159772E-1,2.015900612E0
7.248431241E0,-6.541959047E-1,-2.356902599E0,6.987581253E-1
7.448431241E0,-3.685402870E-2,-1.220710039E0,-1.821632862E0
7.648431241E0,1.517070383E-1,-1.843512297E0,2.197188377E0
7.848431241E0,-2.764034271E-2,-1.024826765E0,-1.163289070E0
8.048431241E0,-9.059888124E-2,-9.378786087E-1,2.726013184E0
8.248431241E0,-1.996291876E-1,-1.253114820E0,-1.345937729E0
8.448431241E0,-2.540486157E-1,-3.917996883E-1,1.673823357E0
8.648431241E0,1.382905602E0,-2.459840298E0,1.349318504E0
8.848431241E0,5.123685002E-1,6.160736084E-4,-2.267880440E0
9.048431241E0,7.622729540E-1,-2.100450516E0,1.515909195E0
9.248431241E0,-1.661878228E-1,-6.772305369E-1,-2.744828701E0
9.448431241E0,3.407906890E-1,-1.061225772E0,2.231622696E0
9.648431241E0,-8.810245991E-2,-2.097753286E-1,-1.473323822E0
9.848431241E0,1.432052255E-2,-1.522560000E0,1.162575722E0
1.004843124E1,-3.851917982E-1,-1.921511889E0,1.512020111E0
1.024843124E1,-2.319016457E-1,8.534151316E-2,-1.654940605E0
1.044843124E1,1.417955041E0,-2.404432297E0,6.848468781E-1
1.064843124E1,8.257182688E-2,-2.514830530E-1,-1.816489220E0
1.084843124E1,-6.767301559E-1,-5.424355268E-1,2.827906609E0
1.104843124E1,3.641619682E-1,-1.131433964E0,-1.674443245E0
1.124843124E1,1.005943120E-1,-1.853298843E-1,1.035718918E-1
1.144843124E1,9.178110361E-1,-2.600960970E0,5.945758820E-1
1.164843124E1,8.223198354E-2,-7.872708440E-1,-1.736043930E0
1.184843124E1,6.311862469E-1,-1.271545649E0,8.491468430E-1
1.204843124E1,-1.402082086E0,-3.021734953E0,6.460494995E-1
1.224843124E1,-1.331928372E-2,-1.888248563E0,1.703042984E-1
1.244843124E1,3.193676174E-1,-1.404627919E0,-4.910364151E-1
1.264843124E1,1.628661901E-1,-5.452156663E-1,1.059131622E-1
1.284843124E1,4.116075337E-1,-2.571494579E-1,2.279148102E-1
1.304843124E1,-4.501157999E-2,9.169740975E-2,-1.519041061E-1
1.324843124E1,-6.970614195E-3,-6.091310084E-2,-8.381175995E-2
1.344843124E1,-5.693909526E-2,1.319319010E-3,2.253952026E-1
1.364843124E1,1.355310977E-1,-6.291419268E-2,-7.168102264E-2
1.384843124E1,-1.866745353E-1,-4.635567963E-2,1.710958481E-1
1.404843124E1,3.725621849E-2,-5.140632391E-3,1.011476517E-1
1.424843124E1,2.525629103E-2,4.377067089E-4,1.123361588E-1
1.444843124E1,-2.165466547E-2,-3.430932760E-2,1.758537292E-1
1.464843124E1,-1.515041292E-1,-6.687568128E-2,-6.555938721E-2
1.484843124E1,6.032600999E-3,1.517481804E-1,4.440879822E-2
1.504843124E1,1.223278046E-2,-1.788969338E-2,9.005737305E-2
1.524843124E1,7.750970870E-2,-4.823627323E-2,1.159963608E-1
1.544843124E1,-1.560685784E-2,-4.300208390E-2,5.363941193E-2
1.564843124E1,-9.298604727E-2,1.976986229E-2,2.071313858E-1
1.584843124E1,-6.565310061E-3,-8.011483401E-2,4.889202118E-2
1.604843124E1,1.181281358E-1,1.036351994E-1,2.498073578E-1
1.624843124E1,9.472711384E-2,6.008695066E-2,-8.983802795E-2
1.644843124E1,-2.988625318E-2,1.013906673E-2,1.976947784E-1
1.664843124E1,-1.686893404E-2,4.490278661E-5,1.307582855E-1
1.684843124E1,8.965939283E-3,2.225646004E-2,1.475000381E-1
1.704843124E1,3.326576948E-2,7.029656321E-3,1.597576141E-1
1.724843124E1,1.322418451E-3,8.017873764E-2,2.122411728E-1
1.744843124E1,-5.305344611E-2,2.995855361E-2,6.161022186E-2
1.764843124E1,-2.039377689E-1,-8.259154856E-3,-3.837585449E-3
1.784843124E1,-1.553222090E-1,-1.479281038E-1,2.876377106E-1
1.804843124E1,7.168389857E-2,-3.562184572E-1,6.213521957E-1
1.824843124E1,5.901712179E-2,-2.520802915E-1,2.794227600E-1
1.844843124E1,-2.831838131E-1,-1.978304982E-2,7.319068909E-2
1.864843124E1,2.705045044E-2,-2.053203881E-1,-6.371974945E-2
1.884843124E1,6.931224465E-2,-1.805937290E-1,1.695146561E-1
1.904843124E1,8.647480011E-1,-1.477181315E-1,-1.200628281E-1
1.924843124E1,1.163698673E0,-3.718512058E-1,1.176805496E-1
1.944843124E1,5.687631965E-1,8.038853109E-2,1.867437363E-1
1.964843124E1,-2.016838491E-1,-1.975399852E-1,-9.913539886E-2
1.984843124E1,-1.272418797E-1,5.081070960E-2,1.031198502E-1
2.004843124E1,-7.803006470E-2,-3.357484937E-3,-7.715225220E-4
2.024843124E1,-7.347077131E-3,5.765837431E-2,2.751674652E-1
2.044843124E1,-1.984100044E-2,4.098767042E-2,1.965665817E-1
2.064843124E1,7.774814963E-3,7.898464799E-2,1.034479141E-1
2.084843124E1,6.224720180E-2,5.401286483E-2,7.276725769E-2
2.104843124E1,2.715811133E-2,5.448797345E-2,1.060695648E-1
2.124843124E1,8.717080951E-2,-1.418213546E-2,-8.303642273E-3
2.144843124E1,6.224527955E-3,7.861286402E-2,2.309255600E-1
2.164843124E1,2.098113298E-3,9.562790394E-3,1.660232544E-1
2.184843124E1,-3.885418177E-3,3.350296617E-2,4.821777344E-2
2.204843124E1,4.223985970E-2,1.012927964E-1,1.441669464E-2
2.224843124E1,-1.226322204E-1,8.906389773E-2,4.514503479E-2
2.244843124E1,-1.125352606E-1,3.224743158E-2,1.212892532E-1
2.264843124E1,3.814712167E-2,2.324987948E-1,2.131986618E-1
2.284843124E1,2.267311513E-2,2.730246186E-1,9.993457794E-2
2.304843124E1,1.734546721E-1,2.995186448E-1,5.311012268E-3
2.324843124E1,-3.826335073E-2,4.552268386E-1,6.496200562E-1
2.344843124E1,-2.343512028E-1,-1.374848604E0,2.034502029E0
2.364843124E1,-5.896095634E-1,-9.847265482E-1,7.404422760E-1
2.384843124E1,-7.253227234E-1,-4.331409931E-3,-7.090663910E-1
2.404843124E1,7.245481014E-3,-9.546773434E-1,1.011737823E0
2.424843124E1,1.447803676E-1,-1.409538627E0,1.000547409E-1
2.444843124E1,2.684504986E-1,-1.111130118E-1,6.364727020E-2
2.464843124E1,-1.937086880E-1,-5.589474440E-1,9.181547165E-1
2.484843124E1,-2.125174850E-1,-4.637511969E-1,-2.610140324E0
2.504843124E1,-3.798203468E-1,-1.543379724E-1,-4.606018066E-1
2.524843124E1,-6.262423396E-1,-6.370645761E-2,6.730813980E-1
2.544843124E1,-1.199310645E-1,-1.150723815E0,-4.134740829E-1
2.564843124E1,-4.428225756E-2,-5.417454839E-1,-1.818561554E-2
2.584843124E1,9.182515740E-2,-1.876191795E-1,3.995914459E-1
2.604843124E1,-9.300029278E-2,-4.365954548E-2,3.004856110E-1
2.624843124E1,-7.473969460E-2,3.265429437E-1,-1.455898285E-1
2.644843124E1,1.680633426E-2,1.788093448E-1,2.498693466E-1
2.664843124E1,4.350106046E-2,3.003828973E-2,1.114788055E-1
2.684843124E1,2.387428284E-2,-1.731890291E-1,1.026096344E-1
2.704843124E1,-7.969769090E-2,-1.392012835E-2,1.270971298E-1
2.724843124E1,4.791022837E-2,5.236852169E-2,1.172771454E-1
2.744843124E1,-6.628625840E-2,8.252488077E-2,1.793317795E-1
2.764843124E1,-4.878284037E-2,2.645380795E-2,1.624250412E-1
2.784843124E1,2.686814964E-2,2.428290248E-2,6.679534912E-2
2.804843124E1,-2.343595028E-3,5.758374929E-3,1.879596710E-2
2.824843124E1,5.194461346E-2,5.705997348E-3,7.405948639E-2
2.844843124E1,9.939454496E-3,6.058226526E-2,1.429347992E-1
2.864843124E1,2.594387531E-2,-1.859986782E-2,-1.002225876E-1
2.884843124E1,3.683926165E-2,5.305048823E-2,3.386497498E-2
2.904843124E1,-2.350642160E-2,2.063000202E-2,2.427101135E-3
2.924843124E1,-6.503431499E-2,-1.479834318E-4,9.387111664E-2
2.944843124E1,-2.653486654E-2,2.500043809E-2,6.744384766E-2
2.964843124E1,-1.716945320E-2,-6.624832749E-3,1.178741455E-1
2.984843124E1,8.402300626E-2,1.043210924E-2,4.786300659E-2
3.004843124E1,1.748146117E-2,-1.791764796E-2,5.037784576E-2
3.024843124E1,3.519696742E-2,3.905594349E-2,2.156848907E-1
3.044843124E1,-4.842874408E-2,-5.687624216E-4,7.894134521E-2
3.064843124E1,3.566392884E-2,9.315511584E-2,1.288108826E-1
3.084843124E1,-1.531466562E-2,-6.238567829E-2,1.147060394E-1
